Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,3436.1938
FDW14,OUT017,3436.1938
NCN55,OUT010,4745.8224
FDQ58,OUT017,3436.1938
FDY38,OUT027,4745.8224
FDH56,OUT046,3436.1938
FDL48,OUT018,3436.1938
FDC48,OUT027,3436.1938
FDN33,OUT045,4745.8224
FDA36,OUT017,3436.1938
FDT44,OUT017,4745.8224
FDQ56,OUT045,4745.8224
NCC54,OUT019,5299.768
FDU11,OUT049,4745.8224
DRL59,OUT013,3436.1938
FDM24,OUT049,3436.1938
FDI57,OUT045,3436.1938
DRC12,OUT018,3436.1938
NCM42,OUT027,3436.1938
FDA46,OUT010,5299.768
FDA31,OUT013,4745.8224
NCJ31,OUT035,5299.768
FDG52,OUT046,3436.1938
NCL19,OUT019,3436.1938
FDS10,OUT035,3436.1938
FDX22,OUT010,3436.1938
NCF19,OUT035,3436.1938
NCE06,OUT046,4745.8224
DRC27,OUT046,3436.1938
FDE21,OUT035,3436.1938
NCR42,OUT019,3436.1938
FDX51,OUT018,3436.1938
NCR06,OUT018,3436.1938
FDU31,OUT027,3436.1938
FDU59,OUT017,4745.8224
FDR03,OUT027,3436.1938
FDS49,OUT027,3436.1938
FDD48,OUT010,3436.1938
NCF18,OUT017,4745.8224
NCD43,OUT027,3436.1938
NCD54,OUT018,3436.1938
FDY19,OUT010,3436.1938
NCY54,OUT017,5299.768
NCL19,OUT018,3436.1938
FDP23,OUT010,3436.1938
FDC26,OUT013,4745.8224
FDR14,OUT010,5299.768
NCS41,OUT035,3436.1938
FDF41,OUT035,4745.8224
FDU34,OUT046,3436.1938
DRH11,OUT046,3436.1938
FDM03,OUT013,4745.8224
FDS31,OUT017,3436.1938
FDJ20,OUT017,4745.8224
FDV44,OUT027,3436.1938
FDG02,OUT049,3436.1938
FDA09,OUT013,3436.1938
FDT04,OUT013,4745.8224
FDL58,OUT019,4745.8224
FDE52,OUT045,3436.1938
FDW12,OUT035,3436.1938
FDL51,OUT017,3436.1938
NCY42,OUT027,3436.1938
FDR07,OUT017,3436.1938
FDN40,OUT045,4745.8224
FDB35,OUT027,3436.1938
FDA22,OUT017,4745.8224
NCL06,OUT046,3436.1938
FDI35,OUT013,3436.1938
NCW42,OUT045,3436.1938
NCX06,OUT049,3436.1938
FDC37,OUT027,3436.1938
FDZ14,OUT018,3436.1938
DRG49,OUT049,3436.1938
NCG06,OUT045,3436.1938
DRC36,OUT045,3436.1938
FDV21,OUT019,5299.768
FDB53,OUT046,4745.8224
DRP47,OUT019,5299.768
FDA14,OUT013,3436.1938
DRC24,OUT035,3436.1938
FDW21,OUT018,3436.1938
NCH29,OUT046,3436.1938
FDU58,OUT013,3436.1938
FDY27,OUT017,3436.1938
FDV56,OUT035,3436.1938
FDT59,OUT046,3436.1938
FDB23,OUT046,3436.1938
FDR49,OUT045,4745.8224
FDB03,OUT010,5034.7796
FDN39,OUT045,3436.1938
FDX02,OUT027,3436.1938
FDQ16,OUT027,3436.1938
FDU35,OUT018,3436.1938
NCT29,OUT013,3436.1938
FDZ27,OUT046,3436.1938
FDN57,OUT017,3436.1938
FDA03,OUT018,3436.1938
FDZ36,OUT045,3436.1938
NCU05,OUT013,3436.1938
FDT39,OUT018,3436.1938
FDK60,OUT017,4745.8224
FDZ25,OUT017,3436.1938
FDG12,OUT046,3436.1938
DRB01,OUT019,4745.8224
NCC43,OUT027,4745.8224
FDX13,OUT019,3436.1938
FDM22,OUT049,3436.1938
FDJ03,OUT027,3436.1938
FDU14,OUT018,3436.1938
FDB33,OUT010,3436.1938
FDP27,OUT046,4745.8224
FDO38,OUT010,4745.8224
FDE28,OUT027,4745.8224
